'Crate name', 'Successful verification', 'Whitelist items', 'Verified items', 'Successful items', 'Duration (s)', 'Exit status', 'Start', 'End', 'Parsing duration', 'Type-checking duration', 'Encoding duration', 'Verification duration'
'000_libc', true, 0, 0, 0, 7, 0, '2018-11-15 02:34:26', '2018-11-15 02:34:34', 0.0, 0.0, 0.0, 1.9
'001_bitflags', true, 0, 0, 0, 3, 0, '2018-11-15 02:34:34', '2018-11-15 02:34:37', 0.0, 0.0, 0.0, 1.21
'002_log', true, 3, 3, 3, 9, 0, '2018-11-15 02:34:37', '2018-11-15 02:34:46', 0.0, 0.0, 0.3, 2.26
'003_lazy_static', true, 0, 0, 0, 10, 0, '2018-11-15 02:34:46', '2018-11-15 02:34:56', 0.0, 0.0, 0.0, 1.10
'005_winapi', true, 0, 0, 0, 208, 0, '2018-11-15 02:34:56', '2018-11-15 02:38:25', 0.0, 0.0, 0.0, 1.14
'008_num-traits', true, 51, 51, 51, 22, 0, '2018-11-15 02:38:25', '2018-11-15 02:38:47', 0.1, 0.0, 0.56, 6.6
'009_memchr', true, 8, 8, 8, 57, 0, '2018-11-15 02:38:47', '2018-11-15 02:39:44', 0.1, 0.0, 2.14, 30.15
'010_rustc-serialize', true, 1, 1, 1, 56, 0, '2018-11-15 02:39:44', '2018-11-15 02:40:41', 0.3, 0.0, 0.0, 1.30
'012_unicode-xid', true, 2, 2, 2, 5, 0, '2018-11-15 02:40:41', '2018-11-15 02:40:46', 0.0, 0.0, 0.0, 1.34
'013_aho-corasick', true, 2, 2, 2, 41, 0, '2018-11-15 02:40:46', '2018-11-15 02:41:27', 0.0, 0.0, 0.0, 1.44
'014_winapi-build', true, 0, 0, 0, 3, 0, '2018-11-15 02:41:27', '2018-11-15 02:41:30', 0.0, 0.0, 0.0, 1.13
'015_quote', true, 2, 2, 2, 27, 0, '2018-11-15 02:41:30', '2018-11-15 02:41:57', 0.0, 0.0, 0.13, 4.19
'017_thread_local', true, 1, 1, 1, 7, 0, '2018-11-15 02:41:57', '2018-11-15 02:42:04', 0.0, 0.0, 0.0, 1.31
'018_time', true, 16, 16, 16, 33, 0, '2018-11-15 02:42:04', '2018-11-15 02:42:37', 0.1, 0.0, 0.57, 13.84
'019_utf8-ranges', true, 1, 1, 1, 6, 0, '2018-11-15 02:42:37', '2018-11-15 02:42:43', 0.0, 0.0, 0.0, 1.50
'020_byteorder', true, 2, 2, 2, 7, 0, '2018-11-15 02:42:43', '2018-11-15 02:42:50', 0.1, 0.0, 0.2, 1.28
'022_cfg-if', true, 0, 0, 0, 3, 0, '2018-11-15 02:42:50', '2018-11-15 02:42:53', 0.0, 0.0, 0.0, 1.9
'023_url', true, 2, 2, 2, 151, 0, '2018-11-15 02:42:53', '2018-11-15 02:45:24', 0.2, 0.0, 0.0, 1.34
'024_num_cpus', true, 2, 2, 2, 11, 0, '2018-11-15 02:45:24', '2018-11-15 02:45:35', 0.0, 0.0, 0.0, 1.39
'025_gcc', true, 0, 0, 0, 17, 0, '2018-11-15 02:45:35', '2018-11-15 02:45:52', 0.0, 0.0, 0.0, 1.21
'026_pkg-config', true, 0, 0, 0, 8, 0, '2018-11-15 02:45:52', '2018-11-15 02:46:00', 0.0, 0.0, 0.0, 1.10
'027_semver', true, 0, 0, 0, 16, 0, '2018-11-15 02:46:00', '2018-11-15 02:46:16', 0.0, 0.0, 0.0, 1.11
'028_itoa', true, 0, 0, 0, 5, 0, '2018-11-15 02:46:16', '2018-11-15 02:46:21', 0.0, 0.0, 0.0, 1.10
'029_matches', true, 0, 0, 0, 3, 0, '2018-11-15 02:46:21', '2018-11-15 02:46:24', 0.0, 0.0, 0.0, 1.16
'032_num-integer', true, 0, 0, 0, 26, 0, '2018-11-15 02:46:24', '2018-11-15 02:46:50', 0.0, 0.0, 0.0, 1.12
'033_unicode-normalization', true, 0, 0, 0, 94, 0, '2018-11-15 02:46:50', '2018-11-15 02:48:24', 0.7, 0.0, 0.0, 1.14
