"Crate name","Successful verification","Whitelist items","Verified items","Successful items","Duration (s)","Exit status","Start","End","Parsing duration","Type-checking duration","Encoding duration","Verification duration"
"000_libc",true,0,0,0,8,0,"2018-11-15 23:04:41","2018-11-15 23:04:49",0.0,0.0,0.0,1.45
"001_bitflags",true,0,0,0,4,0,"2018-11-15 23:04:49","2018-11-15 23:04:53",0.0,0.0,0.0,1.50
"002_log",true,3,3,3,11,0,"2018-11-15 23:04:53","2018-11-15 23:05:04",0.0,0.0,0.3,2.24
"003_lazy_static",true,0,0,0,12,0,"2018-11-15 23:05:04","2018-11-15 23:05:16",0.0,0.0,0.0,1.46
"005_winapi",true,0,0,0,218,0,"2018-11-15 23:05:16","2018-11-15 23:08:54",0.0,0.0,0.0,1.39
"008_num-traits",true,51,51,51,22,0,"2018-11-15 23:08:54","2018-11-15 23:09:17",0.1,0.0,0.57,5.8
"009_memchr",true,8,8,8,33,0,"2018-11-15 23:09:17","2018-11-15 23:09:50",0.1,0.0,2.14,11.63
"010_rustc-serialize",true,1,1,1,56,0,"2018-11-15 23:09:50","2018-11-15 23:10:46",0.2,0.0,0.0,1.72
"012_unicode-xid",true,2,2,2,5,0,"2018-11-15 23:10:46","2018-11-15 23:10:52",0.0,0.0,0.1,1.75
"013_aho-corasick",true,2,2,2,37,0,"2018-11-15 23:10:52","2018-11-15 23:11:29",0.0,0.0,0.0,1.73
"014_winapi-build",true,0,0,0,4,0,"2018-11-15 23:11:29","2018-11-15 23:11:33",0.0,0.0,0.0,1.45
"015_quote",true,2,2,2,24,0,"2018-11-15 23:11:33","2018-11-15 23:11:57",0.0,0.0,0.14,3.25
"017_thread_local",true,1,1,1,9,0,"2018-11-15 23:11:57","2018-11-15 23:12:06",0.0,0.0,0.0,1.59
"018_time",true,16,16,16,28,0,"2018-11-15 23:12:06","2018-11-15 23:12:34",0.1,0.0,0.58,7.79
"019_utf8-ranges",true,1,1,1,6,0,"2018-11-15 23:12:34","2018-11-15 23:12:40",0.0,0.0,0.0,1.83
"020_byteorder",true,2,2,2,8,0,"2018-11-15 23:12:40","2018-11-15 23:12:48",0.1,0.0,0.2,1.71
"022_cfg-if",true,0,0,0,4,0,"2018-11-15 23:12:48","2018-11-15 23:12:52",0.0,0.0,0.0,1.42
"023_url",true,2,2,2,138,0,"2018-11-15 23:12:52","2018-11-15 23:15:10",0.2,0.0,0.0,1.64
"024_num_cpus",true,2,2,2,12,0,"2018-11-15 23:15:10","2018-11-15 23:15:22",0.0,0.0,0.0,1.59
"025_gcc",true,0,0,0,17,0,"2018-11-15 23:15:22","2018-11-15 23:15:39",0.0,0.0,0.0,1.42
"026_pkg-config",true,0,0,0,8,0,"2018-11-15 23:15:39","2018-11-15 23:15:47",0.0,0.0,0.0,1.42
"027_semver",true,0,0,0,17,0,"2018-11-15 23:15:47","2018-11-15 23:16:04",0.0,0.0,0.0,1.50
"028_itoa",true,0,0,0,5,0,"2018-11-15 23:16:04","2018-11-15 23:16:09",0.0,0.0,0.0,1.39
"029_matches",true,0,0,0,4,0,"2018-11-15 23:16:09","2018-11-15 23:16:13",0.0,0.0,0.0,1.40
"032_num-integer",true,0,0,0,26,0,"2018-11-15 23:16:13","2018-11-15 23:16:39",0.0,0.0,0.0,1.36
"033_unicode-normalization",true,0,0,0,95,0,"2018-11-15 23:16:39","2018-11-15 23:18:14",0.7,0.0,0.0,1.42
"034_strsim",true,0,0,0,5,0,"2018-11-15 23:18:14","2018-11-15 23:18:19",0.0,0.0,0.0,1.42
"035_void",true,1,1,1,5,0,"2018-11-15 23:18:19","2018-11-15 23:18:24",0.0,0.0,0.0,1.57
"036_unicode-bidi",true,1,1,1,15,0,"2018-11-15 23:18:24","2018-11-15 23:18:39",0.1,0.0,0.0,1.93
"037_num",true,0,0,0,65,0,"2018-11-15 23:18:39","2018-11-15 23:19:44",0.0,0.0,0.0,1.36
"038_unreachable",true,0,0,0,7,0,"2018-11-15 23:19:44","2018-11-15 23:19:51",0.0,0.0,0.0,1.45
"039_dtoa",true,4,4,4,8,0,"2018-11-15 23:19:51","2018-11-15 23:19:59",0.0,0.0,0.17,3.40
"041_idna",true,0,0,0,115,0,"2018-11-15 23:19:59","2018-11-15 23:21:54",0.0,0.0,0.0,1.38
"042_clap",true,73,73,73,134,0,"2018-11-15 23:21:54","2018-11-15 23:24:08",0.8,0.0,0.40,5.2
"043_openssl-sys",true,0,0,0,30,0,"2018-11-15 23:24:08","2018-11-15 23:24:38",0.2,0.0,0.0,1.51
"044_num-iter",true,0,0,0,31,0,"2018-11-15 23:24:38","2018-11-15 23:25:09",0.0,0.0,0.0,1.43
"045_ansi_term",true,8,8,8,34,0,"2018-11-15 23:25:09","2018-11-15 23:25:43",0.0,0.0,2.98,23.6
"046_unicase",true,0,0,0,15,0,"2018-11-15 23:25:43","2018-11-15 23:25:58",0.1,0.0,0.0,1.40
"048_mime",true,1,1,1,22,0,"2018-11-15 23:25:58","2018-11-15 23:26:20",0.0,0.0,0.1,1.87
"049_vec_map",true,1,1,1,5,0,"2018-11-15 23:26:20","2018-11-15 23:26:25",0.0,0.0,0.0,1.50
"050_chrono",true,13,13,13,69,0,"2018-11-15 23:26:25","2018-11-15 23:27:34",0.6,0.0,0.73,14.23
"051_unicode-width",true,2,2,2,6,0,"2018-11-15 23:27:34","2018-11-15 23:27:40",0.0,0.0,0.1,1.74
"052_slab",true,0,0,0,4,0,"2018-11-15 23:27:40","2018-11-15 23:27:44",0.0,0.0,0.0,1.41
"053_cc",true,0,0,0,20,0,"2018-11-15 23:27:44","2018-11-15 23:28:04",0.0,0.0,0.0,1.45
"054_term",true,0,0,0,18,0,"2018-11-15 23:28:04","2018-11-15 23:28:22",0.1,0.0,0.0,1.46
"055_thread-id",true,1,1,1,12,0,"2018-11-15 23:28:22","2018-11-15 23:28:34",0.0,0.0,0.0,1.61
"056_atty",true,1,1,1,12,0,"2018-11-15 23:28:34","2018-11-15 23:28:46",0.0,0.0,0.0,1.80
"057_openssl",true,149,149,149,88,0,"2018-11-15 23:28:46","2018-11-15 23:30:14",0.8,0.0,1.20,9.61
"058_backtrace",true,1,1,1,32,0,"2018-11-15 23:30:14","2018-11-15 23:30:46",0.0,0.0,0.3,1.86
"059_tempdir",true,0,0,0,28,0,"2018-11-15 23:30:46","2018-11-15 23:31:14",0.0,0.0,0.0,1.52
"060_httparse",true,1,1,1,15,0,"2018-11-15 23:31:14","2018-11-15 23:31:29",0.0,0.0,0.1,1.76
"061_rustc_version",true,0,0,0,24,0,"2018-11-15 23:31:29","2018-11-15 23:31:53",0.0,0.0,0.0,1.44
"062_error-chain",true,0,0,0,42,0,"2018-11-15 23:31:53","2018-11-15 23:32:35",0.0,0.0,0.0,1.38
"063_smallvec",true,36,36,36,15,0,"2018-11-15 23:32:35","2018-11-15 23:32:50",0.0,0.0,0.6,2.45
"065_rustc-demangle",true,0,0,0,6,0,"2018-11-15 23:32:50","2018-11-15 23:32:56",0.0,0.0,0.0,1.39
"066_proc-macro2",true,2,2,2,18,0,"2018-11-15 23:32:56","2018-11-15 23:33:14",0.1,0.0,0.0,1.64
"067_base64",true,0,0,0,16,0,"2018-11-15 23:33:14","2018-11-15 23:33:30",0.1,0.0,0.0,1.38
"068_uuid",true,1,1,1,12,0,"2018-11-15 23:33:30","2018-11-15 23:33:42",0.0,0.0,0.0,1.78
"069_net2",true,26,26,26,16,0,"2018-11-15 23:33:42","2018-11-15 23:33:58",0.1,0.0,0.7,2.46
"070_language-tags",true,1,1,1,8,0,"2018-11-15 23:33:58","2018-11-15 23:34:06",0.0,0.0,0.1,2.3
"071_percent-encoding",true,0,0,0,5,0,"2018-11-15 23:34:06","2018-11-15 23:34:11",0.0,0.0,0.0,1.45
"072_traitobject",true,0,0,0,4,0,"2018-11-15 23:34:11","2018-11-15 23:34:15",0.0,0.0,0.0,1.37
"073_backtrace-sys",true,0,0,0,24,0,"2018-11-15 23:34:15","2018-11-15 23:34:39",0.0,0.0,0.0,1.36
"074_futures",true,4,4,4,26,0,"2018-11-15 23:34:39","2018-11-15 23:35:06",0.5,0.0,0.3,1.87
"075_lazycell",true,0,0,0,4,0,"2018-11-15 23:35:06","2018-11-15 23:35:10",0.0,0.0,0.0,1.37
"077_quick-error",true,0,0,0,4,0,"2018-11-15 23:35:10","2018-11-15 23:35:14",0.0,0.0,0.0,1.35
"078_crossbeam",true,0,0,0,103,0,"2018-11-15 23:35:14","2018-11-15 23:36:57",0.0,0.0,0.0,1.88
"079_flate2",true,13,13,13,36,0,"2018-11-15 23:36:57","2018-11-15 23:37:33",0.2,0.0,0.3,2.29
"081_mio",true,36,36,36,39,0,"2018-11-15 23:37:33","2018-11-15 23:38:12",0.3,0.0,0.39,5.45
"082_textwrap",true,0,0,0,11,0,"2018-11-15 23:38:12","2018-11-15 23:38:23",0.0,0.0,0.0,1.48
"083_scopeguard",true,1,1,1,4,0,"2018-11-15 23:38:23","2018-11-15 23:38:27",0.0,0.0,0.0,1.69
"084_bytes",true,2,2,2,23,0,"2018-11-15 23:38:27","2018-11-15 23:38:50",0.1,0.0,0.3,1.62
"086_getopts",true,0,0,0,13,0,"2018-11-15 23:38:50","2018-11-15 23:39:03",0.0,0.0,0.0,1.47
