"Crate name","Successful cleanup","Successful compilation","Duration (s)","Exit status","Start","End"
"000_libc",true,true,2,0,"2018-11-12 10:42:49","2018-11-12 10:42:51"
"001_bitflags",true,true,0,0,"2018-11-12 10:42:51","2018-11-12 10:42:51"
"002_log",true,true,3,0,"2018-11-12 10:42:51","2018-11-12 10:42:54"
"003_lazy_static",true,true,2,0,"2018-11-12 10:42:54","2018-11-12 10:42:56"
"004_serde",true,false,69,101,"2018-11-12 10:42:56","2018-11-12 10:44:05"
"005_winapi",true,true,200,0,"2018-11-12 10:44:05","2018-11-12 10:47:25"
"006_regex",true,false,1200,124,"2018-11-12 10:47:25","2018-11-12 11:07:25"
"007_regex-syntax",true,false,1200,124,"2018-11-12 11:07:25","2018-11-12 11:27:25"
"008_num-traits",true,true,7,0,"2018-11-12 11:27:25","2018-11-12 11:27:32"
"009_memchr",true,true,8,0,"2018-11-12 11:27:32","2018-11-12 11:27:40"
"010_rustc-serialize",true,true,42,0,"2018-11-12 11:27:40","2018-11-12 11:28:22"
"011_syn",true,false,28,101,"2018-11-12 11:28:22","2018-11-12 11:28:50"
"012_unicode-xid",true,true,1,0,"2018-11-12 11:28:50","2018-11-12 11:28:51"
"013_aho-corasick",true,true,14,0,"2018-11-12 11:28:51","2018-11-12 11:29:05"
"014_winapi-build",true,true,0,0,"2018-11-12 11:29:05","2018-11-12 11:29:05"
"015_quote",true,true,8,0,"2018-11-12 11:29:05","2018-11-12 11:29:13"
"016_kernel32-sys",true,false,0,101,"2018-11-12 11:29:13","2018-11-12 11:29:13"
"017_thread_local",true,true,2,0,"2018-11-12 11:29:13","2018-11-12 11:29:15"
"018_time",true,true,9,0,"2018-11-12 11:29:15","2018-11-12 11:29:24"
"019_utf8-ranges",true,true,2,0,"2018-11-12 11:29:24","2018-11-12 11:29:26"
"020_byteorder",true,true,4,0,"2018-11-12 11:29:26","2018-11-12 11:29:30"
"021_serde_json",true,false,69,101,"2018-11-12 11:29:30","2018-11-12 11:30:39"
"022_cfg-if",true,true,0,0,"2018-11-12 11:30:39","2018-11-12 11:30:39"
"023_url",true,true,105,0,"2018-11-12 11:30:39","2018-11-12 11:32:24"
"024_num_cpus",true,true,4,0,"2018-11-12 11:32:24","2018-11-12 11:32:28"
"025_gcc",true,true,9,0,"2018-11-12 11:32:28","2018-11-12 11:32:37"
"026_pkg-config",true,true,4,0,"2018-11-12 11:32:37","2018-11-12 11:32:41"
"027_semver",true,true,8,0,"2018-11-12 11:32:41","2018-11-12 11:32:49"
"028_itoa",true,true,2,0,"2018-11-12 11:32:49","2018-11-12 11:32:51"
"029_matches",true,true,0,0,"2018-11-12 11:32:51","2018-11-12 11:32:51"
"030_serde_derive",true,false,28,101,"2018-11-12 11:32:51","2018-11-12 11:33:19"
"031_env_logger",true,false,1200,124,"2018-11-12 11:33:19","2018-11-12 11:53:19"
"032_num-integer",true,true,12,0,"2018-11-12 11:53:19","2018-11-12 11:53:31"
"033_unicode-normalization",true,true,83,0,"2018-11-12 11:53:31","2018-11-12 11:54:54"
"034_strsim",true,true,2,0,"2018-11-12 11:54:54","2018-11-12 11:54:56"
"035_void",true,true,0,0,"2018-11-12 11:54:56","2018-11-12 11:54:56"
"036_unicode-bidi",true,true,6,0,"2018-11-12 11:54:56","2018-11-12 11:55:02"
"037_num",true,true,23,0,"2018-11-12 11:55:02","2018-11-12 11:55:25"
"038_unreachable",true,true,1,0,"2018-11-12 11:55:25","2018-11-12 11:55:26"
"039_dtoa",true,true,1,0,"2018-11-12 11:55:26","2018-11-12 11:55:27"
"040_toml",true,false,68,101,"2018-11-12 11:55:27","2018-11-12 11:56:35"
"041_idna",true,true,90,0,"2018-11-12 11:56:35","2018-11-12 11:58:05"
"042_clap",true,true,100,0,"2018-11-12 11:58:05","2018-11-12 11:59:45"
"043_openssl-sys",true,true,14,0,"2018-11-12 11:59:45","2018-11-12 11:59:59"
"044_num-iter",true,true,10,0,"2018-11-12 11:59:59","2018-11-12 12:00:09"
"045_ansi_term",true,true,4,0,"2018-11-12 12:00:09","2018-11-12 12:00:13"
"046_unicase",true,true,4,0,"2018-11-12 12:00:13","2018-11-12 12:00:17"
"047_hyper",true,false,107,101,"2018-11-12 12:00:17","2018-11-12 12:02:04"
"048_mime",true,true,8,0,"2018-11-12 12:02:04","2018-11-12 12:02:12"
"049_vec_map",true,true,2,0,"2018-11-12 12:02:12","2018-11-12 12:02:14"
"050_chrono",true,true,28,0,"2018-11-12 12:02:14","2018-11-12 12:02:42"
"051_unicode-width",true,true,0,0,"2018-11-12 12:02:42","2018-11-12 12:02:42"
"052_slab",true,true,1,0,"2018-11-12 12:02:42","2018-11-12 12:02:43"
"053_cc",true,true,11,0,"2018-11-12 12:02:43","2018-11-12 12:02:54"
"054_term",true,true,11,0,"2018-11-12 12:02:54","2018-11-12 12:03:05"
"055_thread-id",true,true,2,0,"2018-11-12 12:03:05","2018-11-12 12:03:07"
"056_atty",true,true,3,0,"2018-11-12 12:03:07","2018-11-12 12:03:10"
"057_openssl",true,true,39,0,"2018-11-12 12:03:10","2018-11-12 12:03:49"
"058_backtrace",true,true,13,0,"2018-11-12 12:03:49","2018-11-12 12:04:03"
"059_tempdir",true,true,10,0,"2018-11-12 12:04:03","2018-11-12 12:04:13"
"060_httparse",true,true,7,0,"2018-11-12 12:04:13","2018-11-12 12:04:20"
"061_rustc_version",true,true,12,0,"2018-11-12 12:04:20","2018-11-12 12:04:32"
"062_error-chain",true,true,16,0,"2018-11-12 12:04:32","2018-11-12 12:04:48"
"063_smallvec",true,true,2,0,"2018-11-12 12:04:48","2018-11-12 12:04:50"
"064_synom",true,false,0,101,"2018-11-12 12:04:50","2018-11-12 12:04:50"
"065_rustc-demangle",true,true,2,0,"2018-11-12 12:04:50","2018-11-12 12:04:53"
"066_proc-macro2",true,true,7,0,"2018-11-12 12:04:53","2018-11-12 12:05:00"
"067_base64",true,true,7,0,"2018-11-12 12:05:00","2018-11-12 12:05:07"
"068_uuid",true,true,7,0,"2018-11-12 12:05:07","2018-11-12 12:05:14"
"069_net2",true,true,4,0,"2018-11-12 12:05:14","2018-11-12 12:05:18"
"070_language-tags",true,true,5,0,"2018-11-12 12:05:18","2018-11-12 12:05:23"
"071_percent-encoding",true,true,1,0,"2018-11-12 12:05:23","2018-11-12 12:05:24"
"072_traitobject",true,true,0,0,"2018-11-12 12:05:24","2018-11-12 12:05:24"
"073_backtrace-sys",true,true,11,0,"2018-11-12 12:05:24","2018-11-12 12:05:35"
"074_futures",true,true,17,0,"2018-11-12 12:05:35","2018-11-12 12:05:52"
"075_lazycell",true,true,1,0,"2018-11-12 12:05:52","2018-11-12 12:05:53"
"076_serde_derive_internals",true,false,21,101,"2018-11-12 12:05:53","2018-11-12 12:06:14"
"077_quick-error",true,true,1,0,"2018-11-12 12:06:14","2018-11-12 12:06:15"
"078_crossbeam",true,true,31,0,"2018-11-12 12:06:15","2018-11-12 12:06:46"
"079_flate2",true,true,17,0,"2018-11-12 12:06:46","2018-11-12 12:07:03"
"080_itertools",true,false,7,101,"2018-11-12 12:07:03","2018-11-12 12:07:10"
"081_mio",true,true,14,0,"2018-11-12 12:07:10","2018-11-12 12:07:24"
"082_textwrap",true,true,3,0,"2018-11-12 12:07:24","2018-11-12 12:07:27"
"083_scopeguard",true,true,0,0,"2018-11-12 12:07:27","2018-11-12 12:07:27"
"084_bytes",true,true,8,0,"2018-11-12 12:07:27","2018-11-12 12:07:35"
"085_syntex_syntax",true,false,34,101,"2018-11-12 12:07:35","2018-11-12 12:08:09"
"086_getopts",true,true,4,0,"2018-11-12 12:08:09","2018-11-12 12:08:13"
"087_nodrop",true,true,1,0,"2018-11-12 12:08:13","2018-11-12 12:08:14"
"088_glob",true,true,5,0,"2018-11-12 12:08:14","2018-11-12 12:08:19"
"089_either",true,true,2,0,"2018-11-12 12:08:19","2018-11-12 12:08:21"
"090_typeable",true,true,0,0,"2018-11-12 12:08:21","2018-11-12 12:08:21"
"091_miniz-sys",true,true,11,0,"2018-11-12 12:08:21","2018-11-12 12:08:32"
"092_walkdir",true,true,3,0,"2018-11-12 12:08:32","2018-11-12 12:08:35"
"093_unicode-segmentation",true,true,5,0,"2018-11-12 12:08:35","2018-11-12 12:08:40"
"094_fnv",true,true,0,0,"2018-11-12 12:08:40","2018-11-12 12:08:40"
"095_num-rational",true,true,24,0,"2018-11-12 12:08:40","2018-11-12 12:09:04"
"096_libz-sys",true,true,12,0,"2018-11-12 12:09:04","2018-11-12 12:09:16"
"097_version_check",true,true,0,0,"2018-11-12 12:09:16","2018-11-12 12:09:16"
"098_crossbeam-utils",true,true,1,0,"2018-11-12 12:09:16","2018-11-12 12:09:17"
"099_semver-parser",true,true,10,0,"2018-11-12 12:09:17","2018-11-12 12:09:27"
"100_rayon",true,false,14,101,"2018-11-12 12:09:27","2018-11-12 12:09:41"
"101_arrayvec",true,true,3,0,"2018-11-12 12:09:41","2018-11-12 12:09:44"
"102_scoped-tls",true,true,0,0,"2018-11-12 12:09:44","2018-11-12 12:09:44"
"103_crossbeam-epoch",true,true,5,0,"2018-11-12 12:09:44","2018-11-12 12:09:50"
"104_num-bigint",true,true,20,0,"2018-11-12 12:09:50","2018-11-12 12:10:10"
"105_cmake",true,true,13,0,"2018-11-12 12:10:10","2018-11-12 12:10:23"
"106_foreign-types",true,true,1,0,"2018-11-12 12:10:23","2018-11-12 12:10:24"
"107_filetime",true,true,3,0,"2018-11-12 12:10:24","2018-11-12 12:10:27"
"108_phf_shared",true,true,3,0,"2018-11-12 12:10:27","2018-11-12 12:10:30"
"109_phf",true,true,4,0,"2018-11-12 12:10:30","2018-11-12 12:10:34"
"110_nix",true,true,56,0,"2018-11-12 12:10:34","2018-11-12 12:11:30"
"111_num-complex",true,true,13,0,"2018-11-12 12:11:30","2018-11-12 12:11:43"
"112_iovec",true,true,2,0,"2018-11-12 12:11:43","2018-11-12 12:11:45"
"113_termcolor",true,true,4,0,"2018-11-12 12:11:45","2018-11-12 12:11:49"
"114_phf_generator",true,true,16,0,"2018-11-12 12:11:49","2018-11-12 12:12:05"
"115_miow",true,true,195,0,"2018-11-12 12:12:05","2018-11-12 12:15:20"
"116_docopt",true,false,1200,124,"2018-11-12 12:15:20","2018-11-12 12:35:20"
"117_phf_codegen",true,true,18,0,"2018-11-12 12:35:20","2018-11-12 12:35:38"
"118_safemem",true,true,1,0,"2018-11-12 12:35:38","2018-11-12 12:35:39"
"119_cookie",true,true,12,0,"2018-11-12 12:35:39","2018-11-12 12:35:51"
"120_crossbeam-deque",true,true,7,0,"2018-11-12 12:35:52","2018-11-12 12:35:59"
"121_syntex_pos",true,false,69,101,"2018-11-12 12:35:59","2018-11-12 12:37:08"
"122_same-file",true,true,1,0,"2018-11-12 12:37:08","2018-11-12 12:37:09"
"123_syntex_errors",true,false,70,101,"2018-11-12 12:37:09","2018-11-12 12:38:19"
"124_ucd-util",true,true,1,0,"2018-11-12 12:38:19","2018-11-12 12:38:20"
"125_siphasher",true,true,2,0,"2018-11-12 12:38:20","2018-11-12 12:38:22"
"126_curl-sys",true,true,19,0,"2018-11-12 12:38:22","2018-11-12 12:38:41"
"127_xml-rs",true,true,14,0,"2018-11-12 12:38:41","2018-11-12 12:38:55"
"128_rayon-core",true,true,11,0,"2018-11-12 12:38:55","2018-11-12 12:39:06"
"129_pulldown-cmark",true,true,19,0,"2018-11-12 12:39:06","2018-11-12 12:39:25"
"130_linked-hash-map",true,true,2,0,"2018-11-12 12:39:25","2018-11-12 12:39:27"
"131_tokio-io",true,true,23,0,"2018-11-12 12:39:27","2018-11-12 12:39:50"
"132_curl",true,true,27,0,"2018-11-12 12:39:50","2018-11-12 12:40:17"
"133_parking_lot",true,true,23,0,"2018-11-12 12:40:17","2018-11-12 12:40:40"
"134_hex",true,true,8,0,"2018-11-12 12:40:40","2018-11-12 12:40:48"
"135_term_size",true,true,2,0,"2018-11-12 12:40:48","2018-11-12 12:40:50"
"136_ws2_32-sys",true,false,0,101,"2018-11-12 12:40:50","2018-11-12 12:40:50"
"137_memoffset",true,true,0,0,"2018-11-12 12:40:50","2018-11-12 12:40:50"
"138_owning_ref",true,true,2,0,"2018-11-12 12:40:50","2018-11-12 12:40:52"
"139_advapi32-sys",true,false,0,101,"2018-11-12 12:40:52","2018-11-12 12:40:52"
"140_parking_lot_core",true,true,19,0,"2018-11-12 12:40:52","2018-11-12 12:41:11"
"141_stable_deref_trait",true,true,0,0,"2018-11-12 12:41:11","2018-11-12 12:41:11"
"142_tokio-core",true,false,34,101,"2018-11-12 12:41:11","2018-11-12 12:41:45"
