'Crate name', 'Procedure', 'Verifies fine', 'Duration (s)', 'Exit status', 'Start', 'End', 'Parsing duration', 'Type-checking duration', 'Encoding duration', 'Verification duration'
'002_log', "log::eq_ignore_ascii_case[0]::to_ascii_uppercase[0]", true, 6, 0, '2018-11-14 17:41:28', '2018-11-14 17:41:34', 0.0, 0.0, 0.3, 
'008_num-traits', "num_traits::ops[0]::mul_add[0]::{{impl}}[16]::mul_add_assign[0]", false, 15, 101, '2018-11-14 17:41:35', '2018-11-14 17:41:50', 0.1, 0.0, 0.4, 
'008_num-traits', "num_traits::ops[0]::mul_add[0]::{{impl}}[17]::mul_add_assign[0]", false, 14, 101, '2018-11-14 17:41:51', '2018-11-14 17:42:05', 0.1, 0.0, 0.4, 
'008_num-traits', "num_traits::ops[0]::mul_add[0]::{{impl}}[18]::mul_add_assign[0]", false, 16, 101, '2018-11-14 17:42:05', '2018-11-14 17:42:21', 0.1, 0.0, 0.4, 
'008_num-traits', "num_traits::ops[0]::mul_add[0]::{{impl}}[19]::mul_add_assign[0]", false, 13, 101, '2018-11-14 17:42:21', '2018-11-14 17:42:34', 0.1, 0.0, 0.4, 
'008_num-traits', "num_traits::ops[0]::mul_add[0]::{{impl}}[20]::mul_add_assign[0]", false, 15, 101, '2018-11-14 17:42:34', '2018-11-14 17:42:49', 0.1, 0.0, 0.4, 
'008_num-traits', "num_traits::ops[0]::mul_add[0]::{{impl}}[21]::mul_add_assign[0]", false, 14, 101, '2018-11-14 17:42:49', '2018-11-14 17:43:03', 0.1, 0.0, 0.4, 
'008_num-traits', "num_traits::ops[0]::mul_add[0]::{{impl}}[22]::mul_add_assign[0]", false, 16, 101, '2018-11-14 17:43:03', '2018-11-14 17:43:19', 0.1, 0.0, 0.4, 
'008_num-traits', "num_traits::ops[0]::mul_add[0]::{{impl}}[23]::mul_add_assign[0]", false, 14, 101, '2018-11-14 17:43:19', '2018-11-14 17:43:33', 0.1, 0.0, 0.4, 
'008_num-traits', "num_traits::ops[0]::mul_add[0]::{{impl}}[24]::mul_add_assign[0]", false, 16, 101, '2018-11-14 17:43:33', '2018-11-14 17:43:49', 0.1, 0.0, 0.5, 
'008_num-traits', "num_traits::ops[0]::mul_add[0]::{{impl}}[25]::mul_add_assign[0]", false, 14, 101, '2018-11-14 17:43:49', '2018-11-14 17:44:03', 0.1, 0.0, 0.5, 
'008_num-traits', "num_traits::ops[0]::mul_add[0]::{{impl}}[26]::mul_add_assign[0]", false, 16, 101, '2018-11-14 17:44:03', '2018-11-14 17:44:19', 0.1, 0.0, 0.4, 
'008_num-traits', "num_traits::ops[0]::mul_add[0]::{{impl}}[27]::mul_add_assign[0]", false, 14, 101, '2018-11-14 17:44:19', '2018-11-14 17:44:33', 0.1, 0.0, 0.5, 
'013_aho-corasick', "aho_corasick_dot::lib[0]::vec_bytes[0]", false, 39, 101, '2018-11-14 17:44:33', '2018-11-14 17:45:12', 0.0, 0.0, 0.1, 
'018_time', "time::display[0]::is_leap_year[0]", true, 15, 0, '2018-11-14 17:45:13', '2018-11-14 17:45:28', 0.1, 0.0, 0.7, 
'018_time', "time::display[0]::iso_week_days[0]", false, 12, 101, '2018-11-14 17:45:28', '2018-11-14 17:45:40', 0.1, 0.0, 0.27, 
'018_time', "time::display[0]::abs[0]", false, 4, 101, '2018-11-14 17:45:40', '2018-11-14 17:45:44', 0.1, 0.0, 0.5, 
'018_time', "time::duration[0]::div_rem_64[0]", false, 5, 101, '2018-11-14 17:45:44', '2018-11-14 17:45:49', 0.1, 0.0, 0.7, 
'039_dtoa', "dtoa::{{impl}}[0]::write[0]::{{impl}}[1]::sub[0]", false, 5, 101, '2018-11-14 17:45:49', '2018-11-14 17:45:54', 0.0, 0.0, 0.2, 
'039_dtoa', "dtoa::{{impl}}[1]::write[0]::{{impl}}[1]::sub[0]", false, 5, 101, '2018-11-14 17:45:54', '2018-11-14 17:45:59', 0.0, 0.0, 0.2, 
'050_chrono', "chrono::offset[0]::fixed[0]::{{impl}}[0]::west_opt[0]", true, 28, 0, '2018-11-14 17:45:59', '2018-11-14 17:46:27', 0.7, 0.0, 0.4, 
'050_chrono', "chrono::naive[0]::time[0]::{{impl}}[0]::from_hms_nano_opt[0]", true, 18, 0, '2018-11-14 17:46:27', '2018-11-14 17:46:45', 0.7, 0.0, 0.30, 
'070_language-tags', "language_tags::{{impl}}[5]::fmt[0]::cmp_ignore_ascii_case[0]::byte_to_uppercase[0]", true, 9, 0, '2018-11-14 17:46:45', '2018-11-14 17:46:54', 0.0, 0.0, 0.1, 
'107_filetime', "filetime::{{impl}}[0]::from_unix_time[0]", true, 5, 0, '2018-11-14 17:46:54', '2018-11-14 17:46:59', 0.0, 0.0, 0.1, 
'108_phf_shared', "phf_shared::displace[0]", false, 7, 101, '2018-11-14 17:46:59', '2018-11-14 17:47:06', 0.0, 0.0, 0.3, 
'110_nix', "nix::sys[0]::time[0]::div_rem_64[0]", false, 76, 101, '2018-11-14 17:47:07', '2018-11-14 17:48:23', 0.11, 0.1, 0.3, 
'131_tokio-io', "tokio_io::length_delimited[0]::{{impl}}[21]::new[0]", true, 10, 0, '2018-11-14 17:48:23', '2018-11-14 17:48:34', 0.1, 0.0, 0.2, 
'152_humantime', "humantime::date[0]::is_leap_year[0]", true, 8, 0, '2018-11-14 17:48:34', '2018-11-14 17:48:42', 0.0, 0.0, 0.4, 
'187_ordermap', "ordermap::map[0]::usable_capacity[0]", true, 9, 0, '2018-11-14 17:48:42', '2018-11-14 17:48:51', 0.1, 0.0, 0.1, 
'187_ordermap', "ordermap::map[0]::to_raw_capacity[0]", false, 3, 101, '2018-11-14 17:48:51', '2018-11-14 17:48:54', 0.1, 0.0, 0.9, 
'195_fuchsia-zircon', "fuchsia_zircon::time[0]::{{impl}}[2]::add[0]", false, 16, 101, '2018-11-14 17:48:55', '2018-11-14 17:49:11', 0.1, 0.0, 0.2, 
'195_fuchsia-zircon', "fuchsia_zircon::time[0]::{{impl}}[3]::add[0]", false, 17, 101, '2018-11-14 17:49:11', '2018-11-14 17:49:28', 0.1, 0.0, 0.2, 
'195_fuchsia-zircon', "fuchsia_zircon::time[0]::{{impl}}[4]::add[0]", false, 17, 101, '2018-11-14 17:49:28', '2018-11-14 17:49:45', 0.1, 0.0, 0.2, 
'195_fuchsia-zircon', "fuchsia_zircon::time[0]::{{impl}}[5]::sub[0]", false, 16, 101, '2018-11-14 17:49:45', '2018-11-14 17:50:01', 0.1, 0.0, 0.2, 
