"Crate name","Number of dependencies","Parsing duration","Type-checking duration","Encoding duration","Verification duration"
"000_libc",1,0,0,0,1.45
"001_bitflags",1,0,0,0,1.50
"002_log",2,0,0,0.3,3.61
"003_lazy_static",3,0,0,0,4.32
"005_winapi",2,0,0,0,2.78
"008_num-traits",2,0.1,0,0.57,7.16
"009_memchr",5,0.1,0,2.14,19.71
"010_rustc-serialize",1,0.2,0,0,1.72
"012_unicode-xid",1,0,0,0.1,1.75
"013_aho-corasick",7,0.1,0,0,12.81
"014_winapi-build",1,0,0,0,1.45
"015_quote",4,0.1,0,0.14,7.86
"017_thread_local",2,0,0,0,2.96
"018_time",2,0.1,0,0.58,9.27
"019_utf8-ranges",1,0,0,0,1.83
"020_byteorder",1,0.1,0,0.2,1.71
"022_cfg-if",1,0,0,0,1.42
"023_url",6,1.4,0,0,10.22
"024_num_cpus",2,0,0,0,2.95
"025_gcc",2,0.1,0,0,2.83
"026_pkg-config",1,0,0,0,1.42
"027_semver",2,0,0,0,2.88
"028_itoa",1,0,0,0,1.39
"029_matches",1,0,0,0,1.40
"032_num-integer",4,0.1,0,0,7.46
"033_unicode-normalization",1,0.7,0,0,1.42
"034_strsim",1,0,0,0,1.42
"035_void",1,0,0,0,1.57
"036_unicode-bidi",2,0.1,0,0,3.34
"037_num",13,0.6,0,0,44.54
"038_unreachable",2,0,0,0,2.89
"039_dtoa",1,0,0,0.17,3.40
"041_idna",4,0.9,0,0,5.90
"042_clap",9,0.9,0,0.40,28.04
"043_openssl-sys",5,0.3,0,0,8.79
"044_num-iter",6,0.1,0,0,13.46
"045_ansi_term",1,0,0,2.98,23.6
"046_unicase",3,0.1,0,0,4.29
"048_mime",4,0.1,0,0.1,6.10
"049_vec_map",1,0,0,0,1.50
"050_chrono",7,0.9,0,0.73,24.85
"051_unicode-width",1,0,0,0.1,1.74
"052_slab",1,0,0,0,1.41
"053_cc",2,0.1,0,0,2.84
"054_term",2,0.2,0,0,2.84
"055_thread-id",2,0,0,0,3.03
"056_atty",2,0,0,0,3.21
"057_openssl",12,1.2,0,1.20,51.76
"058_backtrace",7,0.2,0,0.3,11.56
"059_tempdir",4,0.2,0,0,5.93
"060_httparse",2,0,0,0.1,3.23
"061_rustc_version",3,0,0,0,4.27
"062_error-chain",9,0.1,0,0,13.86
"063_smallvec",3,0,0,0.6,5.30
"065_rustc-demangle",1,0,0,0,1.39
"066_proc-macro2",3,0.1,0,0,5.04
"067_base64",3,0.2,0,0,4.23
"068_uuid",1,0,0,0,1.78
"069_net2",3,0.1,0,0.7,5.37
"070_language-tags",1,0,0,0.1,2.3
"071_percent-encoding",1,0,0,0,1.45
"072_traitobject",1,0,0,0,1.37
"073_backtrace-sys",4,0.1,0,0,5.75
"074_futures",1,0.5,0,0.3,1.87
"075_lazycell",1,0,0,0,1.37
"077_quick-error",1,0,0,0,1.35
"078_crossbeam",31,3.1,0,0,117.88
"079_flate2",5,0.3,0,0.3,8.04
"081_mio",8,0.5,0,0.39,20.77
"082_textwrap",2,0,0,0,2.88
"083_scopeguard",1,0,0,0,1.69
"084_bytes",4,0.2,0,0.3,7.56
"086_getopts",2,0,0,0,2.87
"087_nodrop",1,0,0,0,1.39
"088_glob",1,0,0,0,1.75
"089_either",1,0,0,0,1.40
"090_typeable",1,0,0,0,1.41
"091_miniz-sys",4,0.1,0,0.2,5.73
"092_walkdir",2,0,0,0,2.80
"093_unicode-segmentation",1,0.2,0,0.28,5.9
"094_fnv",1,0,0,0,1.67
"095_num-rational",8,0.4,0,0,21.33
"096_libz-sys",5,0.1,0,0,8.50
"097_version_check",1,0,0,0,1.41
"098_crossbeam-utils",1,0,0,0,1.40
"099_semver-parser",1,0,0,0,1.41
"101_arrayvec",2,0,0,0.11,4.24
"102_scoped-tls",1,0,0,0,1.41
"103_crossbeam-epoch",8,0.2,0,0,34.11
"104_num-bigint",6,0.3,0,0.3,14.17
"105_cmake",2,0.1,0,0,2.88
"106_foreign-types",2,0,0,0,2.75
"107_filetime",3,0,0,0.1,4.82
"108_phf_shared",2,0,0,0.3,3.52
"109_phf",3,0,0,0,4.23
"110_nix",6,0.11,0.1,3.17,34.77
"111_num-complex",4,0.2,0,0,7.03
"112_iovec",2,0,0,0,2.90
"113_termcolor",1,0,0,0.25,3.75
"114_phf_generator",7,0.9,0,0,13.11
"115_miow",6,1.1,0,0,9.22
"117_phf_codegen",8,0.5,0,0,15.00
"118_safemem",1,0,0,0,1.35
"119_cookie",3,0.1,0,0,4.84
"120_crossbeam-deque",9,0.2,0,0,36.37
"122_same-file",1,0,0,0.5,2.16
"124_ucd-util",1,0,0,0,1.40
"125_siphasher",1,0,0,0.14,3.31
"126_curl-sys",9,0.3,0,0,17.73
"127_xml-rs",2,0.2,0,0,2.79
"128_rayon-core",13,0.5,0.1,0,47.73
"129_pulldown-cmark",6,0.2,0,0,10.87
"130_linked-hash-map",1,0,0,0,1.42
"131_tokio-io",8,1.0,0,0.44,17.59
"132_curl",13,0.7,0,0.3,29.58
"133_parking_lot",17,1.0,0,0,46.05
"134_hex",1,0,0,0,1.45
"135_term_size",2,0,0,0,2.89
"137_memoffset",1,0,0,0,1.39
"138_owning_ref",2,0,0,0,2.88
"140_parking_lot_core",12,0.7,0,0.1,24.82
"141_stable_deref_trait",1,0,0,0,1.42
"143_tempfile",7,0.4,0,0,13.52
"144_fs2",2,0,0,0,2.87
"145_libgit2-sys",7,0.2,0,0,13.64
"146_yaml-rust",2,0.1,0,0.15,5.46
"147_git2",24,2.23,0,1.27,83.91
"148_nom",6,0.7,0,0.27,14.70
"149_openssl-probe",1,0,0,0,1.40
"150_remove_dir_all",1,0,0,0,1.43
"151_tar",5,0.1,0,0.2,10.13
"152_humantime",2,0,0,0.11,5.82
"154_redox_syscall",1,0.1,0,0.3,2.10
"155_libssh2-sys",9,0.3,0,0,17.62
"156_foreign-types-shared",1,0,0,0,1.40
"157_futures-cpupool",4,0.5,0,0,5.94
"158_enum_primitive",4,0.1,0,0,5.88
"162_hpack",4,0.1,0,0,5.54
"163_rust-crypto",8,0.85,0,1.13,19.13
"164_serde_codegen_internals",4,0.1,0,0,5.68
"165_core-foundation",4,0.1,0,0,7.61
"166_core-foundation-sys",2,0,0,0,3.20
"167_socket2",3,0.1,0,0.6,5.57
"168_adler32",1,0,0,0,1.60
"170_native-tls",15,1.2,0,0,57.62
"173_pest",2,0.1,0,0,2.85
"174_rand_core",1,0,0,0,1.42
"176_diff",1,0,0,0,1.41
"177_gl_generator",7,0.3,0,0,14.71
"178_wincolor",4,0.5,0,0,5.81
"180_untrusted",1,0,0,0,1.41
"181_tokio-service",2,0.5,0,0,2.90
"183_bufstream",1,0,0,0,1.35
"184_git2-curl",25,3.17,0,0,72.27
"186_take",1,0,0,0,1.41
"187_ordermap",1,0.1,0,0.3,1.99
"188_khronos_api",2,0,0,0,2.80
"189_vcpkg",1,0,0,0,1.46
"193_memmap",2,0,0,0.8,3.66
"195_fuchsia-zircon",3,0.1,0,0.83,11.59
"196_fuchsia-zircon-sys",1,0,0,0,1.63
"198_tokio-reactor",33,2.92,0.2,0,135.76
"199_tokio-threadpool",19,2.6,0,0.7,74.59
"203_shell-escape",1,0,0,0,1.38
"204_sha1",1,0,0,0,1.79
"205_tokio-executor",2,0.5,0,0,3.15
"206_generic-array",3,0.1,0,0,4.30
"207_unsafe-any",2,0,0,0,2.86
"208_xattr",2,0,0,0,2.88
"209_fixedbitset",1,0,0,0.1,2.5
"211_open",2,0,0,0,2.86
"214_crc",3,0,0,0,4.26
"217_quine-mc_cluskey",1,0,0,0.1,1.80
"218_relay",2,0.5,0,0,2.83
"219_scoped_threadpool",1,0,0,0,1.39
"221_antidote",1,0,0,0,1.40
"222_jobserver",4,0,0,0,6.17
"223_encoding_index_tests",1,0,0,0,1.49
"225_termion",2,0,0,0,3.27
"227_winapi-x86_64-pc-windows-gnu",2,0,0,0,2.90
"232_tokio-udp",35,3.10,0,0,136.30
"233_tokio-tcp",34,3.65,0,0,134.93
"234_png",12,0.9,0,0.15,38.72
"236_typenum",2,0.1,0,0.7,3.80
"238_winapi-i686-pc-windows-gnu",2,0,0,0,2.82
"242_quasi_codegen",14,1.47,0.1,0,28.39
"243_tokio-tls",22,2.30,0,0,78.62
"244_bit-vec",1,0,0,0.3,1.94
"246_home",1,0,0,0.3,2.16
"248_ring",6,0.6,0,0,10.70
"249_libloading",3,0.1,0,0.1,4.47
"250_redox_termios",2,0.1,0,0,2.79
"251_shared_library",3,0,0,0,4.43
"252_rls-data",3,0.3,0,0,4.31
"253_inflate",2,0,0,0.1,4.28
"254_schannel",4,0.9,0,0,5.94
"257_build_const",1,0,0,0.1,1.96
"258_gif",3,0,0,0,4.66
"261_tendril",7,0.1,0,0.1,13.67
"262_mac",1,0,0,0,1.45
"263_utf-8",1,0,0,0,1.49
"264_futf",5,0,0,0,9.81
"265_modifier",1,0,0,0,1.51
"266_plugin",4,0,0,0,5.60
"267_pnacl-build-helper",7,0.3,0,0,11.86
"269_bit-set",2,0,0,0,2.83
"270_rls-span",1,0,0,0.26,4.19
"271_lzw",1,0,0,0.2,2.31
"274_digest",4,0.1,0,0,5.86
"275_color_quant",1,0,0,0,1.39
"276_lzma-sys",5,0.1,0,0,8.64
"277_iron",40,3.20,0,0.1,157.02
"278_tokio-fs",24,3.23,0,0.16,94.03
"279_xz2",6,0.1,0,0,10.12
"280_shlex",1,0,0,0,1.36
"281_coco",3,0.1,0,0,4.93
"282_string_cache_shared",1,0,0,0,1.42
"284_string_cache_codegen",13,1.2,0,0,32.19
"286_ryu",2,0,0,0.2,3.33
"287_byte-tools",1,0,0,0,1.41
"289_glutin",50,4.62,0.1,0.9,208.29
"290_rls-vfs",2,0,0,0,2.88
"291_crypto-hash",14,1.2,0,0,48.20
"292_sha2",12,0.5,0,0.4,29.34
"294_precomputed-hash",1,0,0,0,1.37
"295_if_chain",1,0,0,0,1.39
"298_conduit-mime-types",2,0.3,0,0,2.89
"300_difference",2,0,0,0.1,3.08
"301_debug_unreachable",3,0,0,0,4.26
"302_fake-simd",1,0,0,0,1.39
"303_mio-uds",9,0.5,0,0,18.74
"304_error",3,0,0,0,6.14
"305_json",1,0.1,0,0.9,2.88
"306_deflate",3,0.3,0,0.11,6.28
"308_x11-dl",5,0.4,0,0,9.03
"309_deque",1,0,0,0,1.41
"310_typed-arena",1,0,0,0,1.38
"312_constant_time_eq",1,0,0,0,1.42
"313_heapsize",2,0,0,0,2.88
"314_commoncrypto-sys",2,0,0,0,2.81
"317_lock_api",2,0,0,0,2.79
"320_gleam",9,0.3,0,0.4,18.96
"321_ascii",1,0.1,0,0.5,2.43
"322_zip",17,1.3,0.3,0,44.22
"323_rustc-ap-serialize",4,0.2,0,0,6.05
"326_rustc-ap-rustc_cratesio_shim",5,0.1,0,0,9.74
"329_wayland-client",12,0.51,0.1,0.37,39.94
"330_encoding_rs",3,0.20,0,0.38,9.07
"331_tokio-codec",9,1.3,0,0.1,16.86
"332_maplit",1,0,0,0,1.37
"333_podio",1,0,0,0,1.45
"334_strings",4,0.1,0,0,5.61
"335_msdos_time",3,0.1,0,0,4.70
"337_osmesa-sys",4,0,0,0,5.93
"338_unix_socket",3,0,0,0,4.45
"339_openssl-verify",9,0.2,0,0,21.26
"341_winit",43,4.92,0.1,0.6,164.99
"342_euclid",3,0.4,0,0.9,5.81
"344_colored",2,0,0,0.1,3.32
"345_block-buffer",7,0.4,0,0,12.66
"346_want",5,0.7,0,0,9.29
"347_try-lock",1,0,0,0,1.40
"348_cgmath",8,0.6,0,0.1,16.87
"351_lru-cache",2,0,0,0,2.77
"352_wayland-sys",5,0.1,0,0.1,7.57
"353_threadpool",3,0,0,0,4.24
"354_dlib",4,0.1,0,0,5.71
"355_wayland-scanner",3,0.2,0,0,4.24
"356_tokio-uds",35,3.85,0,0,141.48
"357_approx",3,0.1,0,0.2,4.87
"359_pretty_assertions",3,0,0,0,4.45
"360_route-recognizer",1,0,0,0,1.46
"361_md5",1,0,0,0,1.42
"362_ena",3,0,0,0,4.39
"363_ar",2,0.1,0,0,2.77
"364_wayland-kbd",15,0.5,0,0.8,29.72
"365_arrayref",1,0,0,0,1.43
"366_log_settings",2,0,0,0,2.78
