"Crate name","Number of dependencies","Parsing duration","Type-checking duration","Encoding duration","Verification duration"
'000_libc',1,0,0,0,1.50
'001_bitflags',1,0,0,0,1.42
'002_log',2,0,0,.3,3.80
'003_lazy_static',3,0,0,0,4.32
'005_winapi',2,0,0,0,2.78
'008_num-traits',2,.1,0,.55,7.18
'009_memchr',5,.1,0,2.18,20.86
'010_rustc-serialize',1,.2,0,0,1.65
'012_unicode-xid',1,0,0,0,1.76
'013_aho-corasick',7,.1,0,0,14.08
'014_winapi-build',1,0,0,0,1.42
'015_quote',4,.1,0,.13,7.95
'017_thread_local',2,0,0,0,2.97
'018_time',2,.1,0,.57,8.95
'019_utf8-ranges',1,0,0,0,1.94
'020_byteorder',1,.1,0,.3,1.63
'022_cfg-if',1,0,0,0,1.40
'023_url',6,1.2,0,.1,10.05
'024_num_cpus',2,0,0,0,3.07
'025_gcc',2,.1,0,0,2.82
'026_pkg-config',1,0,0,0,1.56
'027_semver',2,0,0,0,2.83
'028_itoa',1,0,0,0,1.42
'029_matches',1,0,0,0,1.39
'032_num-integer',4,.2,0,0,7.92
'033_unicode-normalization',1,.7,0,0,1.41
'034_strsim',1,0,0,0,1.43
'035_void',1,0,0,0,1.57
'036_unicode-bidi',2,.1,0,0,3.17
'037_num',13,.7,0,0,43.79
'038_unreachable',2,0,0,0,2.89
'039_dtoa',1,0,0,.17,3.38
'041_idna',4,.9,0,0,5.79
'042_clap',9,1.2,0,.41,28.69
'043_openssl-sys',5,.3,0,0,8.45
'044_num-iter',6,.1,0,.15,13.10
'045_ansi_term',1,0,0,3.9,23.1
'046_unicase',3,.1,0,0,4.33
'048_mime',4,.1,0,.1,6.02
'049_vec_map',1,0,0,0,1.49
'050_chrono',7,.8,0,.72,25.48
'051_unicode-width',1,0,0,0,1.83
'052_slab',1,0,0,0,1.48
'053_cc',2,.1,0,0,2.81
'054_term',2,.2,0,0,2.84
'055_thread-id',2,0,0,0,3.06
'056_atty',2,0,0,0,3.16
'057_openssl',12,1.2,0,1.23,49.94
'058_backtrace',7,.1,0,.3,11.48
'059_tempdir',4,.2,0,0,5.77
'060_httparse',2,0,0,.1,3.29
'061_rustc_version',3,0,0,0,4.34
'062_error-chain',9,.1,0,0,14.03
'063_smallvec',3,0,0,.7,5.26
'065_rustc-demangle',1,0,0,0,1.38
'066_proc-macro2',3,.1,0,0,4.97
'067_base64',3,.2,0,0,4.36
'068_uuid',1,0,0,0,1.90
'069_net2',3,.1,0,.6,5.42
'070_language-tags',1,0,0,.1,1.98
'071_percent-encoding',1,0,0,0,1.35
