'Crate name', 'Number of procedures', 'Number of supported procedures', 'Number of supported procedures using assertions'
'000_libc', 161, 0, 0
'001_bitflags', 0, 0, 0
'002_log', 113, 3, 1
'003_lazy_static', 3, 0, 0
'005_winapi', 0, 0, 0
'008_num-traits', 1897, 51, 12
'009_memchr', 102, 8, 0
'010_rustc-serialize', 429, 1, 0
'012_unicode-xid', 5, 2, 0
'013_aho-corasick', 99, 2, 1
'014_winapi-build', 1, 0, 0
'015_quote', 81, 2, 0
'017_thread_local', 52, 1, 0
'018_time', 161, 16, 4
'019_utf8-ranges', 29, 1, 0
'020_byteorder', 133, 2, 0
'022_cfg-if', 0, 0, 0
'023_url', 275, 2, 0
'024_num_cpus', 4, 2, 0
'025_gcc', 1, 0, 0
'026_pkg-config', 36, 0, 0
'027_semver', 114, 0, 0
'028_itoa', 26, 0, 0
'029_matches', 0, 0, 0
'032_num-integer', 188, 0, 0
'033_unicode-normalization', 59, 0, 0
'034_strsim', 10, 0, 0
'035_void', 10, 1, 0
'036_unicode-bidi', 77, 1, 0
'037_num', 0, 0, 0
'038_unreachable', 5, 0, 0
'039_dtoa', 34, 4, 2
'041_idna', 25, 0, 0
'042_clap', 1006, 73, 0
'043_openssl-sys', 42, 0, 0
'044_num-iter', 17, 0, 0
'045_ansi_term', 76, 8, 0
'046_unicase', 51, 0, 0
'048_mime', 57, 1, 0
'049_vec_map', 81, 1, 0
'050_chrono', 585, 13, 2
'051_unicode-width', 6, 2, 0
'052_slab', 36, 0, 0
'053_cc', 1, 0, 0
'054_term', 84, 0, 0
'055_thread-id', 2, 1, 0
'056_atty', 4, 1, 0
'057_openssl', 2052, 149, 0
'058_backtrace', 59, 1, 0
'059_tempdir', 8, 0, 0
'060_httparse', 78, 1, 0
'061_rustc_version', 31, 0, 0
'062_error-chain', 32, 0, 0
'063_smallvec', 207, 36, 0
'065_rustc-demangle', 11, 0, 0
'066_proc-macro2', 257, 2, 0
'067_base64', 54, 0, 0
'068_uuid', 211, 1, 0
'069_net2', 199, 26, 0
'070_language-tags', 25, 1, 1
'071_percent-encoding', 35, 0, 0
'072_traitobject', 2, 0, 0
'073_backtrace-sys', 0, 0, 0
'074_futures', 997, 4, 0
'075_lazycell', 23, 0, 0
'077_quick-error', 2, 0, 0
'078_crossbeam', 22, 0, 0
'079_flate2', 381, 13, 0
'081_mio', 707, 36, 0
'082_textwrap', 31, 0, 0
'083_scopeguard', 11, 1, 0
'084_bytes', 349, 2, 0
'086_getopts', 71, 0, 0
'087_nodrop', 7, 0, 0
'088_glob', 82, 1, 0
'089_either', 54, 0, 0
'090_typeable', 1, 0, 0
'091_miniz-sys', 0, 0, 0
'092_walkdir', 62, 0, 0
'093_unicode-segmentation', 87, 5, 0
'094_fnv', 4, 2, 0
'095_num-rational', 243, 0, 0
'096_libz-sys', 2, 0, 0
'097_version_check', 11, 0, 0
'098_crossbeam-utils', 30, 0, 0
'099_semver-parser', 150, 0, 0
'101_arrayvec', 311, 58, 0
'102_scoped-tls', 4, 0, 0
'103_crossbeam-epoch', 172, 0, 0
'104_num-bigint', 1091, 3, 0
'105_cmake', 30, 0, 0
